st_trend,dist_to_st,atr_pct,rsi,adx,bb_width,vol_ratio,label
-1.0,3.2480054536818446,0.7623632188248902,38.779793211188526,16.95756378785502,1.8049933056245304,1.5264109972765745,1
-1.0,1.6355445845839127,1.0896739516036014,38.200807905648354,39.2987820751514,4.632112711390769,2.039233029268197,0
-1.0,0.8237333198878621,1.1550785250925915,45.67799873422981,36.7362783549187,4.512307972273249,0.7554408391575934,0
-1.0,0.3230440319727748,1.1136058180877304,49.91505727422318,35.11854002853549,4.280036595228192,0.8276651278267871,0
-1.0,0.8541789322626376,1.090428022681689,45.83232681933353,33.43712953877788,4.132283181942828,0.7330134059321398,0
-1.0,0.7533803887419576,1.116671484947009,47.610585171697,30.62325676322532,3.4467905693808407,1.6249834069945857,0
1.0,3.7110497668486593,1.1243461874556269,55.29331283828723,28.456797023159396,3.4387847987083804,1.0442519477460321,0
-1.0,6.219237914114509,1.547021940804411,27.436697648895645,22.090617454930083,4.690458359088221,3.7114760805158427,1
-1.0,0.5048553234735254,3.9080566226832687,46.1808352189349,67.86381062541442,25.789079343280857,1.325294351738574,0
-1.0,0.7201610495350383,3.7959635685183226,45.76395574589042,65.23609351195043,24.275991140399046,0.4451304615311677,0
-1.0,0.23909187254436132,3.5707725963792756,46.91997847385054,62.83357303174686,23.729470525093184,0.37966338246265885,0
-1.0,4.4081915339380595,3.9921301944744108,39.36563255880067,61.298942539777464,23.01436496998205,1.0401843208655859,0
-1.0,2.8011706776867507,3.6444182589534475,43.45623102580342,57.77942741658124,19.783084706616016,0.6966172342839981,0
-1.0,2.4720373369362685,3.466452016993456,44.2665953281272,55.83453354270938,17.796051028739225,0.47318953821048804,0
-1.0,0.12474868469055582,2.7486491907856365,51.11837347838857,48.192684560216364,13.831397075689015,0.4335002127199045,1
1.0,7.8400424201347825,2.5862739984865173,51.8387057895196,45.56295286247688,13.96621611899371,0.31091842908003553,0
1.0,2.0328973324409216,2.126064851461938,37.16089978377054,29.446781211201273,7.289406115299091,0.9794036660334596,0
